country, year,population,beef (kg/capita),pig (kg/capita),poultry (kg/capita),sheep(kg/capita),maize (1000 tonnes),rice (1000 tonnes),soy(1000 tonnes),wheat(1000 tonnes)
ARG,1990,32.580854,55.559,3.674,8.66,2.282,7685,291.04,11500,11037
ARG,1991,33.028546,51.817,3.612,8.88,2.347,10701,236.64,11310,9999
ARG,1992,33.475005,50.98,4.487,10.027,1.894,10901,498.44,11045,9996
ARG,1993,33.91744,51.678,4.851,15.442,1.869,10360,413.44,11720,9737
ARG,1994,34.353066,48.594,4.837,18.392,2.374,11404,413.16,12133,11406
ARG,1995,34.779096,43.693,5.086,18.662,2.233,10518,629.68,12450,9542
ARG,1996,35.195575,44.219,4.889,19.63,1.787,15537,670.48,11000,16107
ARG,1997,35.604362,44.86,4.747,19.005,1.625,19361,819.4,18732,15087
ARG,1998,36.005387,41.633,5.475,19.803,1.421,13504,687.54,20000,12601
ARG,1999,36.398577,45.76,6.148,23.041,1.336,16781,1127.44,20200,15300
ARG,2000,36.783859,45.282,5.989,22.902,1.412,15359,614.721,26880,15960
ARG,2001,37.156654,43.988,4.783,22.024,1.397,14712,584.12,30000,15292
ARG,2002,37.537783,40.505,4.445,15.424,1.363,15045,484.84,34706,12301
ARG,2003,37.927463,41.864,3.951,16.121,1.309,14951,488.24,31576,14563
ARG,2004,38.325927,43.711,4.255,18.888,1.26,20483,720.8,38300,15925
ARG,2005,38.733406,42.824,4.825,21.145,1.188,14446,650.08,40537,12593
ARG,2006,39.127239,44.105,5.93,24.338,1.157,21755,811.58,47482,14548
ARG,2007,39.52944,47.41,6.045,25.742,1.177,22017,734.468,46238,16354
ARG,2008,39.940234,47.251,5.933,27.954,1.102,13121,853.4,40000,8376
ARG,2009,40.359828,46.961,6.415,29.733,1.039,22677,910.452,54247,9023
ARG,2010,40.788453,39.622,6.137,31.511,1.032,23800,845.444,48878,15875
ARG,2011,41.26149,38.402,6.582,35.01,1.087,21197,1188.708,49000,14500
ARG,2012,41.733271,40.476,6.635,36.864,1.182,32100,1066.24,49353,8024
ARG,2013,42.202935,44.056,7.879,35.685,1.152,33000,1063.18,53397.72,9188
ARG,2014,42.6695,40.956,8.026,36.692,1.22,33800,1074.4,61398.276,13930
ARG,2015,43.131966,41.079,8.631,39.253,1.147,39800,1060.8,58799.258,11314
ARG,2016,43.590368,39.042,9.674,38.925,1.012,49500,952,54971.626,18395
ARG,2017,44.044811,39.575,10.421,38.343,0.969,43460,904.4,37783.754,18518
ARG,2018,44.494502,38.881,11.054,38.464,0.969,57000,930.24,55263,19459
AUS,1990,17.065128,0,0,22.051,19.013,193.7,740,62.017,15066.1
AUS,1991,17.284036,27.942,14.521,22.35,19.415,268.9,957,62.6,10557.4
AUS,1992,17.478635,26.405,15.256,22.436,17.961,198.8,858,48.889,14738.7
AUS,1993,17.634808,26.37,15.082,23.807,17.49,204.1,1042,81.263,16479.3
AUS,1994,17.805468,25.662,15.646,24.473,18.505,242.4,1016,27.247,8961.3
AUS,1995,18.004882,25.526,15.652,24.217,15.115,311.1,966,44.606,16503.9
AUS,1996,18.224767,27.453,14.478,24.615,14.795,397.7,1255,74.376,22924.3
AUS,1997,18.423037,29,14.858,25.791,15.063,271.8,1324,54.04,19226.6
AUS,1998,18.607584,26.765,15.257,27.643,15.476,338.2,1362,107.189,21464.8
AUS,1999,18.812264,28.095,15.193,28.002,15.25,406,1084,104.02,24757.4
AUS,2000,19.028802,26.515,15.651,29.682,16.368,344.9,1643,48.65,22108.1
AUS,2001,19.274701,24.606,14.892,29.225,14.977,453.9,1192,63.061,24299.3
AUS,2002,19.49521,25.263,16.418,32.494,13.779,310,438,9.212,10131.9
AUS,2003,19.720737,25.958,17.593,31.407,12.153,395,553,59.807,26131.9
AUS,2004,19.932722,28.719,17.718,32.81,11.984,419.7,339,44.689,21905.1
AUS,2005,20.176844,27.19,18.863,34.092,11.992,362,1003,50.149,25150.4
AUS,2006,20.450966,27.03,18.409,35.187,12.37,239.9,163,25.49,10821.6
AUS,2007,20.827622,24.166,20.221,34.769,12.587,387,17.614,34.73,13569.4
AUS,2008,21.249199,23.343,19.17,33.261,10.992,375.7,60.868,80.105,21420.2
AUS,2009,21.691653,23.454,19.744,33.578,10.334,328.029,196.685,59.6,21834.01
AUS,2010,22.03175,25.31,20.129,37.645,8.973,356.943,723.283,29.75,27410.1
AUS,2011,22.340024,23.287,19.486,39.499,8.046,450.535,918.733,52.272,29905.009
AUS,2012,22.733465,22.435,20.502,40.319,8.723,505.897,1161.116,69.523,22855
AUS,2013,23.128129,23.744,19.9,40.161,8.723,389.533,819.276,31.61,25302.707
AUS,2014,23.475686,22.587,20.174,40.806,8.116,494.589,690.39,37.439,23742.56
AUS,2015,23.815995,20.519,21.77,41.989,9.346,400.032,273.688,39.52,22274.514
AUS,2016,24.190907,19.473,21.4,44.512,8.5,436.194,807.304,31.018,31818.744
AUS,2017,24.60186,21.251,22.062,43.349,7.755,387.237,635.113,51.237,20941.133
AUS,2018,24.99286,19.965,21.395,42.353,6.982,392,60.882,42.028,17297.5
BRA,1990,148.935328,20.868,5.562,12.513,0.676,24096.1,5338.56,19418.6,3077.8
BRA,1991,151.467861,20.68,5.718,13.814,0.672,30771.2,6697.99,23042.1,2739.2
BRA,1992,153.973883,20.542,5.809,14.677,0.668,29207.7,6769.01,25059.2,2051.8
BRA,1993,156.454116,20.813,6.004,15.198,0.689,33173.7,6635.01,25934.1,2137.8
BRA,1994,158.910651,23.259,6.204,16.602,0.664,37441.9,7050.41,23189.7,1524.3
BRA,1995,161.345581,25.906,6.76,20.161,0.702,32404.7,7529.46,23166.874,3197.5
BRA,1996,163.767821,26.468,7.322,19.129,0.553,35715.6,6724.79,26392.636,2406.9
BRA,1997,166.187066,24.713,6.81,20.615,0.562,30187.8,6381.08,31369.9,2187.7
BRA,1998,168.6064,23.457,7.226,22.485,0.564,32393.4,5670.21,30765,2402.8
BRA,1999,171.029011,24.953,7.246,24.823,0.584,31640.5,7875.76,32344.6,1658.4
BRA,2000,173.765726,25.237,10.759,26.059,0.55,42289.7,7767.708,38431.8,3194.2
BRA,2001,176.208646,24.993,10.997,25.125,0.52,35266.8,7062.48,41916.9,2913.9
BRA,2002,178.499255,25.699,10.51,27.132,0.498,47410.9,7225.748,52017.5,6073.5
BRA,2003,180.708344,29.696,9.585,28.596,0.487,42128.5,7049.628,49792.7,5845.9
BRA,2004,182.865043,27.678,9.084,30.151,0.518,35006.7,8813.072,52304.6,4873.1
BRA,2005,184.991143,29.722,8.899,24.429,0.521,42514.9,9081.536,55027.1,2233.7
BRA,2006,187.06161,32.082,10.166,26.262,0.531,51369.9,7970.756,58391.8,4097.1
BRA,2007,189.038268,30.758,9.997,27.583,0.53,58652.3,7694.812,60017.7,5884
BRA,2008,191.010274,26.987,10.348,31.514,0.533,51003.8,8210.32,57165.5,5026.2
BRA,2009,192.980905,25.673,10.653,30.196,0.524,56018.1,8569.7,68688.2,5881.606
BRA,2010,194.890682,26.325,11.011,39.014,0.529,57406.9,7929.412,75324.3,5788.6
BRA,2011,196.603732,25.903,11.65,40.501,0.527,72979.5,9256.908,66383,4379.5
BRA,2012,198.314934,26.161,11.669,39.835,0.533,81505.7,7887.66,81499.4,5527.9
BRA,2013,200.004188,27.765,11.531,39.311,0.546,80051.7,8037.396,86120.8,5971.1
